cases,deaths,year,state,population,abbreviation,cases_per_10k,deaths_per_10k
22017,287,2021,Hawaii,1420074,HI,155.04121616197466,2.021021439727789
142568,1451,2021,Idaho,1754367,ID,812.6463847074186,8.270789407233492
982105,18322,2021,Illinois,12716164,IL,772.3280385499903,14.408433235054218
529054,8475,2021,Indiana,6696893,IN,789.9991832033153,12.655122308210688
284715,3946,2021,Iowa,3150011,IA,903.8539865416342,12.526940382112953
230352,2879,2021,Kansas,2912619,KS,790.8758406094308,9.884574673172152
278478,3013,2021,Kentucky,4461952,KY,624.1169783986919,6.752649961272555
321058,7537,2021,Louisiana,4664616,LA,688.2838801736306,16.157814491053497
25592,359,2021,Maine,1340825,ME,190.867562881062,2.6774560438535975
285487,5994,2021,Maryland,6037624,MD,472.8466032333249,9.927746411502273
387662,12610,2021,Massachusetts,6873003,MA,564.035837027861,18.347147527798256
535582,13296,2021,Michigan,9973907,MI,536.9831501336437,13.330784014729636
420603,5489,2021,Minnesota,5600166,MN,751.0545223123744,9.801495169964605
222061,4871,2021,Mississippi,2981835,MS,744.7125679321625,16.335578595059754
426489,5928,2021,Missouri,6124160,MO,696.4040782735918,9.679694847946493
82381,972,2021,Montana,1061705,MT,775.9311673204893,9.155085452173626
170037,1708,2021,Nebraska,1923826,NE,883.8481234789425,8.878141786211435
231869,3195,2021,Nevada,3030281,NV,765.1732628096206,10.54357665180226
46450,780,2021,New Hampshire,1355244,NH,342.7427090619844,5.7554211640117945
494063,19208,2021,New Jersey,8885418,NJ,556.037993935682,21.617441070301926
146394,2553,2021,New Mexico,2097021,NM,698.1045969496728,12.174413131771212
1024154,38001,2021,New York,19514849,NY,524.8075452697584,19.472863971430165
565260,6963,2021,North Carolina,10386227,NC,544.2399824305785,6.704070688999961
93048,1317,2021,North Dakota,760394,ND,1223.6814072704412,17.319968332206727
721481,9076,2021,Ohio,11675275,OH,617.9563222279561,7.7736926967459015
304072,2547,2021,Oklahoma,3949342,OK,769.9307884705856,6.449175584185922
117745,1510,2021,Oregon,4176346,OR,281.9330582284131,3.6156008146834577
666207,16324,2021,Pennsylvania,12794885,PA,520.6822882737907,12.758223305641277
87949,1777,2021,Rhode Island,1057798,RI,831.4347351762813,16.7990485896173
321669,5469,2021,South Carolina,5091517,SC,631.7743807984929,10.741395933667706
100532,1513,2021,South Dakota,879336,SD,1143.2717414048782,17.206164651509777
593363,6962,2021,Tennessee,6772268,TN,876.1658575827182,10.280160206300165
1808382,28554,2021,Texas,28635442,TX,631.5188010717627,9.971559021159862
283473,1301,2021,Utah,3151239,UT,899.5604586005695,4.128534839788413
7793,140,2021,Vermont,624340,VT,124.81980971906333,2.2423679405452157
363765,5124,2021,Virginia,8509358,VA,427.48818418498786,6.0216058602775915
258557,3524,2021,Washington,7512465,WA,344.1706550379935,4.690870439995394
91058,1376,2021,West Virginia,1807426,WV,503.79932567087116,7.613036439666133
526245,5264,2021,Wisconsin,5806975,WI,906.2291468449581,9.064960672294955
44875,438,2021,Wyoming,581348,WY,771.9128645836918,7.534213586354473
374095,4878,2021,Alabama,4893186,AL,764.5223377979092,9.968965005622103
48110,209,2021,Alaska,736990,AK,652.7904042117261,2.835859373939945
561542,9064,2021,Arizona,7174064,AZ,782.7390444244712,12.634400808244811
234781,3800,2021,Arkansas,3011873,AR,779.5182599000689,12.616733839707054
2474639,26995,2021,California,39346023,CA,628.9425998658111,6.860922131825115
345239,5011,2021,Colorado,5684926,CO,607.2884677830459,8.814538658902508
194636,6168,2021,Connecticut,3570549,CT,545.1150509347442,17.274654401886096
60333,937,2021,Delaware,967679,DE,623.4815470832787,9.682963048696934
29904,797,2021,District of Columbia,701974,DC,425.99868371193236,11.353696860567485
1376684,22089,2021,Florida,21216924,FL,648.861258116398,10.411028478963303
672849,10623,2021,Georgia,10516579,GA,639.7983602842712,10.101193553531049
22092,287,2021,Hawaii,1420074,HI,155.56935765319272,2.021021439727789
143833,1462,2021,Idaho,1754367,ID,819.8569626537663,8.333490085027819
987459,18414,2021,Illinois,12716164,IL,776.5384277837247,14.480782097494181
532671,8514,2021,Indiana,6696893,IN,795.4001952845895,12.713358269275021
286356,3992,2021,Iowa,3150011,IA,909.0634921592338,12.67297161819435
234390,2897,2021,Kansas,2912619,KS,804.739651839118,9.946374723230193
282097,3067,2021,Kentucky,4461952,KY,632.2277783355805,6.873673226426462
322181,7585,2021,Louisiana,4664616,LA,690.6913666634081,16.26071685214817
25968,360,2021,Maine,1340825,ME,193.6718065370201,2.6849141386832733
287970,6027,2021,Maryland,6037624,MD,476.9591481682198,9.982403674028062
392582,12669,2021,Massachusetts,6873003,MA,571.1942799966769,18.432990644700723
541158,13381,2021,Michigan,9973907,MI,542.5737376536597,13.416006385461586
423747,5502,2021,Minnesota,5600166,MN,756.6686416081237,9.824708767561534
223677,4884,2021,Mississippi,2981835,MS,750.1320495600863,16.379175910135874
429745,5941,2021,Missouri,6124160,MO,701.7207257811683,9.700922248928833
82753,975,2021,Montana,1061705,MT,779.4349654565062,9.18334188875441
170778,1727,2021,Nebraska,1923826,NE,887.6998231648809,8.97690331662011
233324,3209,2021,Nevada,3030281,NV,769.9747977167793,10.5897769876787
47328,781,2021,New Hampshire,1355244,NH,349.2212472440387,5.762799909093861
545155,19244,2021,New Jersey,8885418,NJ,613.5389466201815,21.657956890716903
147315,2576,2021,New Mexico,2097021,NM,702.496541522474,12.284092529354737
1035396,38167,2021,New York,19514849,NY,530.5682867441096,19.557927401846666
572018,7000,2021,North Carolina,10386227,NC,550.7466763435846,6.739694790032992
93247,1319,2021,North Dakota,760394,ND,1226.298471581838,17.346270486090106
727423,9143,2021,Ohio,11675275,OH,623.0457098440936,7.831078925335806
306771,2552,2021,Oklahoma,3949342,OK,776.7648382945818,6.4618359210217795
118473,1517,2021,Oregon,4176346,OR,283.6762088198631,3.632361878062785
670769,16394,2021,Pennsylvania,12794885,PA,524.247775575943,12.812932668015383
92708,1855,2021,Rhode Island,1057798,RI,876.4244212978281,17.536429450613443
325472,5484,2021,South Carolina,5091517,SC,639.2436674570663,10.770856701450668
100643,1513,2021,South Dakota,879336,SD,1144.5340575161258,17.206164651509777
597201,7101,2021,Tennessee,6772268,TN,881.8330875269555,10.485409023978377
1831486,28681,2021,Texas,28635442,TX,639.5871242357636,10.015909654895495
285633,1307,2021,Utah,3151239,UT,906.4149053753142,4.14757496971826
7873,144,2021,Vermont,624340,VT,126.10116282794631,2.3064355959893645
367536,5132,2021,Virginia,8509358,VA,431.9197758514802,6.031007274579351
261328,3558,2021,Washington,7512465,WA,347.8591913572975,4.736128554342682
91886,1396,2021,West Virginia,1807426,WV,508.38042608660055,7.723691039079885
527871,5273,2021,Wisconsin,5806975,WI,909.0292277821069,9.080459275268105
45247,438,2021,Wyoming,581348,WY,778.3117857118284,7.534213586354473
379593,4886,2021,Alabama,4893186,AL,775.7583709264271,9.985314271723986
48302,209,2021,Alaska,736990,AK,655.3955955983121,2.835859373939945
