state,cases,deaths,year
District of Columbia,31993,821,2021
Florida,1488578,23070,2021
Georgia,740078,11113,2021
Guam,8392,125,2021
Hawaii,23462,306,2021
Idaho,150557,1552,2021
Illinois,1036450,19365,2021
Indiana,570355,9016,2021
Iowa,297774,4139,2021
Kansas,250421,3255,2021
Kentucky,309414,3247,2021
Louisiana,348234,7918,2021
Maine,29611,438,2021
Maryland,309874,6301,2021
Massachusetts,437042,13206,2021
Michigan,565231,14183,2021
Minnesota,437620,5779,2021
Mississippi,240309,5186,2021
Missouri,459493,6336,2021
Montana,86757,1057,2021
Nebraska,177655,1835,2021
Nevada,250471,3503,2021
New Hampshire,52307,869,2021
New Jersey,590165,19932,2021
New Mexico,157087,2766,2021
New York,1150028,39404,2021
North Carolina,631345,7635,2021
North Dakota,94838,1360,2021
Northern Mariana Islands,125,2,2021
Ohio,784957,9702,2021
Oklahoma,335247,2775,2021
Oregon,126607,1628,2021
Pennsylvania,731967,17861,2021
Puerto Rico,117083,1642,2021
Rhode Island,100607,1947,2021
South Carolina,357654,5826,2021
South Dakota,103499,1585,2021
Tennessee,645378,7795,2021
Texas,1989821,30720,2021
Utah,307502,1400,2021
Vermont,9078,156,2021
Virgin Islands,2042,23,2021
Virginia,403386,5393,2021
Washington,281071,3793,2021
West Virginia,102282,1594,2021
Wisconsin,551942,5576,2021
Wyoming,47395,489,2021
Alabama,407848,5573,2021
Alaska,50243,216,2021
Arizona,638739,10537,2021
Arkansas,259553,4121,2021
California,2816366,31105,2021
Colorado,366385,5326,2021
Connecticut,217047,6449,2021
Delaware,66446,991,2021
District of Columbia,32423,825,2021
Florida,1503474,23226,2021
Georgia,749417,11297,2021
Guam,8398,125,2021
Hawaii,23570,306,2021
Idaho,151474,1563,2021
Illinois,1043041,19497,2021
Indiana,573505,9104,2021
Iowa,299254,4222,2021
Kansas,250646,3255,2021
Kentucky,312316,3284,2021
Louisiana,352939,7971,2021
Maine,30326,449,2021
Maryland,312534,6367,2021
Massachusetts,442529,13273,2021
Michigan,567901,14286,2021
Minnesota,438935,5792,2021
Mississippi,241957,5284,2021
Missouri,462085,6495,2021
Montana,87179,1067,2021
Nebraska,178690,1859,2021
Nevada,253100,3551,2021
New Hampshire,53148,878,2021
New Jersey,594751,20039,2021
New Mexico,157974,2796,2021
New York,1164819,39588,2021
North Carolina,636681,7687,2021
North Dakota,94976,1363,2021
Northern Mariana Islands,128,2,2021
Ohio,792938,9802,2021
Oklahoma,337457,2804,2021
Oregon,127791,1669,2021
Pennsylvania,739212,18091,2021
Puerto Rico,118042,1645,2021
Rhode Island,101393,1970,2021
South Carolina,359357,5860,2021
South Dakota,103743,1585,2021
Tennessee,649227,7941,2021
Texas,2017036,31017,2021
Utah,309629,1422,2021
Vermont,9247,158,2021
Virgin Islands,2166,24,2021
Virginia,407947,5477,2021
Washington,283363,3869,2021
West Virginia,103203,1634,2021
Wisconsin,555249,5635,2021
Wyoming,48072,522,2021
Alabama,410995,5760,2021
Alaska,50526,217,2021
Arizona,643683,10689,2021
Arkansas,262020,4186,2021
California,2858041,31653,2021
Colorado,368775,5354,2021
Connecticut,220576,6536,2021
Delaware,67173,994,2021
District of Columbia,32600,831,2021
Florida,1517464,23395,2021
Georgia,757993,11435,2021
Guam,8413,125,2021
Hawaii,23663,309,2021
Idaho,152560,1576,2021
Illinois,1048784,19619,2021
Indiana,577153,9163,2021
Iowa,301161,4232,2021
Kansas,255200,3355,2021
Kentucky,316673,3324,2021
Louisiana,355835,8022,2021
Maine,31150,453,2021
Maryland,315055,6404,2021
Massachusetts,448447,13359,2021
Michigan,571014,14325,2021
Minnesota,440422,5842,2021
Mississippi,243899,5315,2021
Missouri,464620,6538,2021
Montana,87759,1069,2021
Nebraska,180160,1870,2021
Nevada,254043,3596,2021
New Hampshire,54125,885,2021
New Jersey,602629,20166,2021
New Mexico,159119,2809,2021
New York,1179523,39760,2021
North Carolina,642003,7796,2021
North Dakota,95142,1364,2021
Northern Mariana Islands,128,2,2021
Ohio,799639,9881,2021
Oklahoma,341364,2848,2021
Oregon,129109,1716,2021
Pennsylvania,747245,18458,2021
Puerto Rico,118254,1659,2021
Rhode Island,102485,1987,2021
South Carolina,365378,5911,2021
South Dakota,104195,1604,2021
Tennessee,653568,8072,2021
Texas,2040144,31396,2021
Utah,314817,1449,2021
Vermont,9368,158,2021
Virgin Islands,2166,24,2021
Virginia,412545,5552,2021
Washington,285690,3909,2021
West Virginia,104392,1671,2021
Wisconsin,558020,5679,2021
Wyoming,48289,522,2021
Alabama,414583,5945,2021
Alaska,50861,219,2021
Arizona,653546,10876,2021
Arkansas,264511,4228,2021
California,2898756,32246,2021
Colorado,371362,5385,2021
Connecticut,221544,6553,2021
Delaware,68065,995,2021
District of Columbia,32820,842,2021
Florida,1531184,23612,2021
Georgia,766917,11599,2021
Guam,8426,125,2021
Hawaii,23827,315,2021
Idaho,153506,1593,2021
Illinois,1055550,19728,2021
Indiana,581534,9202,2021
Iowa,302559,4251,2021
Kansas,255393,3355,2021
Kentucky,320466,3373,2021
Louisiana,361148,8080,2021
Maine,31958,461,2021
Maryland,318002,6449,2021
Massachusetts,454402,13433,2021
Michigan,574675,14500,2021
Minnesota,442003,5885,2021
Mississippi,245847,5356,2021
Missouri,467633,6590,2021
Montana,88190,1079,2021
Nebraska,181091,1885,2021
Nevada,256463,3664,2021
New Hampshire,54778,897,2021
New Jersey,609721,20253,2021
New Mexico,160543,2838,2021
New York,1193710,39997,2021
North Carolina,650815,7888,2021
North Dakota,95385,1372,2021
Northern Mariana Islands,128,2,2021
Ohio,807293,9990,2021
Oklahoma,344506,2882,2021
Oregon,130246,1737,2021
Pennsylvania,754441,18752,2021
Puerto Rico,118431,1679,2021
